"symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant","GENENAME"
"Hapln1",8.55027563299401,0.140094733160811,13.1445863634165,3.2782541701122e-19,1.95741794755501e-17,23.2889003376901,"Yes","hyaluronan and proteoglycan link protein 1"
"Ripply1",6.07863086303857,-2.25896880552444,8.91903960578655,1.50945364163928e-12,3.52847983258022e-11,13.1921235110322,"Yes","ripply transcriptional repressor 1"
"Kng1",5.90333425454353,2.60114540509965,16.5046006684886,7.95920992005686e-24,9.01886405432884e-22,38.3110079852284,"Yes","kininogen 1"
"Nkx2-5",-5.76376554573682,-2.34186722722502,-8.40537141400857,1.10121809204185e-11,2.30428593250259e-10,11.8440395770725,"Yes","NK2 homeobox 5"
"Mmp13",5.70527095066829,7.26309695428841,73.8532387074789,5.15645690175108e-60,6.89469852333137e-56,121.660327147929,"Yes","matrix metallopeptidase 13"
"Mmp3",5.40213126939733,7.13705402019386,71.7963336556985,2.69755369742453e-59,1.80344952441317e-55,120.407594170103,"Yes","matrix metallopeptidase 3"
"Palmd",5.3978337458953,-2.59286956347055,7.64284182698067,2.15384730134876e-10,3.66400664966085e-09,9.69534784683752,"Yes","palmdelphin"
"Serpina6",5.32069163742902,-2.6359367989482,7.56189691883172,2.95575092964434e-10,4.89114151121319e-09,9.45184955289524,"Yes","serine (or cysteine) peptidase inhibitor, clade A, member 6"
"Gabrb3",-5.29613198770233,-1.78424906787589,-7.71250682553144,1.64037711804658e-10,2.8301267671485e-09,10.1637478452045,"Yes","GABRB3, gamma-aminobutyric acid type A receptor subunit beta 3"
"Mdga2",5.02087550388001,-2.78660292456186,7.00279548224108,2.62909434571579e-09,3.67715695570772e-08,7.88297105749245,"Yes","MAM domain containing glycosylphosphatidylinositol anchor 2"
"Slc36a2",4.99015141247728,-1.63444754301415,7.07394836290802,1.99132471781037e-09,2.83859304923693e-08,8.43974134962014,"Yes","solute carrier family 36 (proton/amino acid symporter), member 2"
"Fgf12",-4.87649578374195,-2.78205177571746,-6.81542508593459,5.45990129298961e-09,7.21386760756562e-08,7.39817140981321,"Yes","fibroblast growth factor 12"
"Clec14a",4.8411189662313,-1.47147103700605,6.93711212434383,3.39728546041593e-09,4.66856155099911e-08,8.0905424782019,"Yes","C-type lectin domain family 14, member a"
"Mmp12",4.73481918613606,-1.34427333194712,6.675371978816,9.41792506653258e-09,1.17578969247999e-07,7.39493009803624,"Yes","matrix metallopeptidase 12"
"Arhgap36",-4.73037331690417,-2.85442843001621,-6.55186101103892,1.52175135116479e-08,1.83309345193012e-07,6.65639035522491,"Yes","Rho GTPase activating protein 36"
"Vgll2",-4.67716498451656,-2.88020180325723,-6.45513266051443,2.2142297672759e-08,2.60162269053129e-07,6.38527167546887,"Yes","vestigial like family member 2"
"Tmem132b",-4.67455682470504,-2.08673240499028,-6.63674575745717,1.09438783798285e-08,1.35217297596997e-07,7.1189560467488,"Yes","transmembrane protein 132B"
"Asb4",4.59237416625431,0.972918231951508,9.73955206574598,6.58133875513081e-14,1.87631301694785e-12,18.5734879697477,"Yes","ankyrin repeat and SOCS box-containing 4"
"Hp",4.54441795255556,7.09728800270836,65.1637579711137,7.82271946573647e-57,2.09195163952725e-53,116.748817851177,"Yes","haptoglobin"
"Nog",-4.48998013447862,-1.12774033006379,-6.29048382534309,4.1851478362812e-08,4.75442750373118e-07,6.37241314637293,"Yes","noggin"
"Adcy1",-4.44212310167285,0.438119839468411,-8.32587577406439,1.49982652052146e-11,3.06170693219731e-10,13.5980424913728,"Yes","adenylate cyclase 1"
"Adcy2",4.41373523389694,-2.29971977953539,6.11436962492848,8.24531478940956e-08,8.84106688445832e-07,5.60367668134905,"Yes","adenylate cyclase 2"
"Ptprz1",-4.29083703533352,3.81474742837399,-20.9846220621065,4.13564424186471e-29,9.53408606171948e-27,53.292047023309,"Yes","protein tyrosine phosphatase receptor type Z, polypeptide 1"
"Sectm1b",4.27023898971613,-1.42897319288134,5.87864501161898,2.03215413124659e-07,1.99793624183074e-06,5.15658346801734,"Yes","secreted and transmembrane 1B"
"Gria3",-4.21582087156517,-2.32049251015472,-5.85006917774545,2.26585534376957e-07,2.20660974519614e-06,4.89135490956591,"Yes","glutamate receptor, ionotropic, AMPA3 (alpha 3)"
"Actg2",-4.21268754817121,-0.10568091740486,-7.18550085460862,1.28781173200779e-09,1.91538717115418e-08,9.64485387643887,"Yes","actin, gamma 2, smooth muscle, enteric"
"Ahsg",4.19892234883982,-2.03541218805537,5.79837750563359,2.75817608208784e-07,2.63623153042509e-06,4.8036966436076,"Yes","alpha-2-HS-glycoprotein"
"Ntrk3",4.18861015079058,-1.23898997016103,5.82708106674682,2.47301683074501e-07,2.38232766886827e-06,5.04447629456376,"Yes","neurotrophic tyrosine kinase, receptor, type 3"
"Traf3ip3",4.16236233786126,-1.62950672930879,5.72649326490655,3.62311591766274e-07,3.36323564810799e-06,4.69505114749539,"Yes","TRAF3 interacting protein 3"
"Vat1l",-4.12929595209094,0.0353625715909759,-7.15282557801121,1.46322228536401e-09,2.1499719975387e-08,9.74479193596452,"Yes","vesicle amine transport protein 1 like"
"Myocd",-4.06548770022759,-2.02187950229847,-5.6029136054802,5.77970700892304e-07,5.12130300969582e-06,4.28928202176661,"Yes","myocardin"
"Cd36",4.0309635092587,-2.4859456329331,5.49298891443835,8.73720075815776e-07,7.51770343226045e-06,3.86767170808008,"Yes","CD36 molecule"
"Sprr2h",3.99127121633683,0.69391816937545,8.40138601657459,1.11839775592953e-11,2.3365775616459e-10,14.4425077444343,"Yes","small proline-rich protein 2H"
"Chrna2",3.96480122451568,-1.90606108106554,5.41114051222887,1.18680283510458e-06,9.93037591250518e-06,3.77768908181597,"Yes","cholinergic receptor nicotinic alpha 2 subunit"
"Kng2",3.95048790983997,4.01430244732023,22.3572331030037,1.46777988387682e-30,4.36126329495932e-28,57.1304771419486,"Yes","kininogen 2"
"Foxa2",3.93495162633644,2.02611535049074,11.7735720804235,3.77436908695579e-17,1.6332391282099e-15,26.7249326333624,"Yes","forkhead box A2"
"Frmd3",-3.88161154567989,0.492966056050527,-7.91320120761582,7.48937809972412e-11,1.36431164266228e-09,12.665175956452,"Yes","FERM domain containing 3"
"Parm1",-3.8488789579967,0.823162315262699,-8.22617882035517,2.21050600644582e-11,4.4114441510727e-10,14.0236223938816,"Yes","prostate androgen-regulated mucin-like protein 1"
"Il1rn",3.84332173433082,3.5038454808437,18.5250526756597,2.54274070215717e-26,4.09626336488476e-24,47.6117716490581,"Yes","interleukin 1 receptor antagonist"
"B3gnt5",-3.76841539998685,-1.49273550352029,-5.02930318517462,4.86327958428392e-06,3.56507189262392e-05,2.83395210243437,"Yes","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"
"Eya2",3.73594691248395,-1.47356798337923,5.3958648086472,1.25643646650613e-06,1.04736982504074e-05,3.79691641708787,"Yes","EYA transcriptional coactivator and phosphatase 2"
