"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol","Significant"
"Gjc3",-9.05236372470411,1.30619823188147,-12.1848460430162,3.25991436710315e-18,2.32395828726784e-17,24.0541304539733,"Gjc3","Yes"
"Zfp213",-7.64785273386043,-1.3543001768243,-10.7824129573976,6.15516766651598e-16,3.45324157249929e-15,20.3143733060248,"Zfp213","Yes"
"Ascl1",-7.21315790049854,-1.56490128657134,-10.1042827878487,8.4066877799175e-15,4.14679946453455e-14,18.4398942283072,"Ascl1","Yes"
"Depp1",-7.07084141644234,-1.63548828903298,-9.8585210320139,2.19325968433506e-14,1.03643036845367e-13,17.743173358323,"Depp1","Yes"
"Fcrlb",-6.94727494574991,-1.70665479000134,-9.60328191808791,5.97279402610469e-14,2.69669618716033e-13,17.010283658623,"Fcrlb","Yes"
"Leng9",-6.92664386470399,-1.71309077508381,-9.68785056376642,4.2829367627303e-14,1.96582650720892e-13,17.2410049557551,"Leng9","Yes"
"Homez",-6.59212398128399,-0.295895988965559,-9.03785051794346,5.60163495923113e-13,2.31350661010685e-12,15.588553772628,"Homez","Yes"
"Heyl",-6.49195751968371,-1.92990573910761,-8.9765526658503,7.15007217177954e-13,2.92210769729685e-12,15.1467280695899,"Heyl","Yes"
"Tril",-6.48579414601072,-1.92898556865076,-8.94125116535727,8.2300313024122e-13,3.33675734600548e-12,15.0467560512537,"Tril","Yes"
"Mmd2",-6.33311542887857,-2.00800181966173,-8.71547456748853,2.02719844902094e-12,7.84977602459276e-12,14.3617148218251,"Mmd2","Yes"
"Grik3",-6.25099500909818,-0.648890389808334,-8.53592159002936,4.16008655245788e-12,1.56079674667399e-11,14.0717557526679,"Grik3","Yes"
"Slitrk6",-6.20405585362191,-2.06825384453768,-8.4433166690032,6.0309030512279e-12,2.22002792850802e-11,13.5460351358139,"Slitrk6","Yes"
"Plxnb3",-6.12252014634234,0.632945049707376,-9.64787325212656,5.01170907142272e-14,2.28531179024614e-13,18.1632127561259,"Plxnb3","Yes"
"Ift70a1",-5.90078886903201,-0.639065248203947,-8.35939279045171,8.44652068025098e-12,3.07512659104914e-11,13.5317371513979,"Ift70a1","Yes"
"Slc6a2",-5.89702045633433,-0.101422682005217,-7.83069573729705,7.08585318534354e-11,2.35851592733827e-10,11.9985538534466,"Slc6a2","Yes"
"B4galnt3",-5.82114481670031,0.253032860326914,-8.63470590321203,2.80059031242276e-12,1.06824815537643e-11,14.7752638652995,"B4galnt3","Yes"
"Hmgcs2",-5.78058610749399,-0.326325202039499,-8.07076781793954,2.69526615370239e-11,9.30238245560207e-11,12.6988383241164,"Hmgcs2","Yes"
"Aldh1a3",-5.70460398523198,-0.36704644694455,-8.0653929265895,2.75419924891058e-11,9.49837381918394e-11,12.674816384804,"Aldh1a3","Yes"
"Hdhd3",-5.6102133054043,-1.21379043342198,-7.58358394012021,1.91736238316979e-10,6.11657492770868e-10,11.1121470892259,"Hdhd3","Yes"
"Gpr35",-5.55759961339359,-2.40123138738812,-7.36254114226212,4.66931784089624e-10,1.44073744816496e-09,10.2000950546799,"Gpr35","Yes"
"Egr2",-5.50610695367761,2.96682866083958,-16.2819128805813,3.00706412276659e-24,4.04005760785463e-23,41.9074297425735,"Egr2","Yes"
"Gdpgp1",-5.50421203253205,-0.470152069446824,-7.34725767768081,4.9655388467895e-10,1.527875814842e-09,10.4804089594842,"Gdpgp1","Yes"
"Efcab3",-5.48888129357232,1.29180792795229,-10.3524726851735,3.21114938320514e-15,1.66438098058044e-14,21.7756277941284,"Efcab3","Yes"
"Shisal1",-5.45778899627367,-2.44130465383531,-7.21171621507341,8.56546830452018e-10,2.57701782126475e-09,9.73231035170149,"Shisal1","Yes"
"Cmtm5",-5.45771223101697,-0.490221757162673,-7.67665194169765,1.31790955226998e-10,4.27829087719046e-10,11.4779383724594,"Cmtm5","Yes"
"Kcnj10",-5.45449950098246,-0.498838190573721,-7.60506377473644,1.75844082768794e-10,5.63261185973207e-10,11.2591949289219,"Kcnj10","Yes"
"Gm47995",-5.45297286678961,-2.4554342346564,-7.14781237371096,1.10738624171398e-09,3.29288641857335e-09,9.53550034066215,"Gm47995","Yes"
"Rnase1",-5.45009027939447,-2.44871601927244,-7.23493262782444,7.80207436761852e-10,2.35856832511428e-09,9.79722494933079,"Rnase1","Yes"
