"symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant","GENENAME"
"Lcn2",-11.3222143164734,3.36415947657869,-20.9611536142971,1.63939572984122e-18,4.91781961200576e-17,22.3788659867855,"Yes","lipocalin 2"
"C3",-9.85789937068709,6.00293080665585,-42.4049709966511,1.04100628151226e-26,2.62785340384009e-24,43.1293144369932,"Yes","complement component 3"
"Saa3",-9.7883841791245,5.99544574966173,-37.2876054205722,3.43876998826063e-25,5.2281026901067e-23,41.3448838189462,"Yes","serum amyloid A 3"
"Ms4a4d",-8.98247704734034,-0.793846171036361,-13.8602966088811,5.70968315803099e-14,6.42471412710653e-13,15.596848615797,"Yes","membrane-spanning 4-domains, subfamily A, member 4D"
"Nos2",-8.92650844312417,-0.0274473880562293,-13.704752475682,7.50780785588802e-14,8.24011167382492e-13,15.497565449469,"Yes","nitric oxide synthase 2, inducible"
"Hapln1",8.78478589114775,0.284975272660933,12.8740204908081,3.37413047803112e-13,3.28309030295116e-12,14.7138959888713,"Yes","hyaluronan and proteoglycan link protein 1"
"Serpina3i",-7.79229975028088,-1.3856130095608,-12.1360082333138,1.36179502725131e-12,1.17994880561598e-11,13.7823603628633,"Yes","serine (or cysteine) peptidase inhibitor, clade A, member 3I"
"Tnmd",7.17140561579462,-1.68173676972103,10.9762603173667,1.37987393629611e-11,9.84604447664302e-11,12.3490250165485,"Yes","tenomodulin"
"Chi3l1",-7.0435437925929,-0.966738922643215,-10.6763733977308,2.57716397629857e-11,1.75024755527404e-10,12.0700532738323,"Yes","chitinase 3 like 1"
"Hp",-6.99407570414026,1.35020525171381,-13.2367336588318,1.73575005145588e-13,1.77678652933651e-12,16.729447083198,"Yes","haptoglobin"
"Cxcl5",-6.98267697478517,2.25981427519293,-16.0247321910934,1.58756951738353e-15,2.54677368981705e-14,21.4080245695283,"Yes","C-X-C motif chemokine ligand 5"
"Dclk3",-6.76644721173693,-1.89906044664794,-10.3060465985646,5.65994632530636e-11,3.6179848010642e-10,11.4096488396956,"Yes","doublecortin-like kinase 3"
"Shisa3",-6.5555870003315,-0.602575957392981,-9.35081784111572,4.6670546298365e-10,2.51168639954073e-09,10.2412696084213,"Yes","shisa family member 3"
"Cldn19",6.51349824596955,-1.21903520912197,9.72246454003343,2.02533030206219e-10,1.15502532443692e-09,10.7130898019804,"Yes","claudin 19"
"Krt19",-6.40797452580534,-1.28508980875889,-9.55101215162394,2.97015657573783e-10,1.64545444417376e-09,10.4471476121873,"Yes","keratin 19"
"Ucma",6.38883363368493,0.552062123474975,10.2619077796443,6.2234645721674e-11,3.93310026032251e-10,12.1475161256173,"Yes","upper zone of growth plate and cartilage matrix associated"
"St8sia4",-6.37317471365472,-2.09207245997836,-9.44580470159859,3.76389503351713e-10,2.0470386850986e-09,10.1392293268267,"Yes","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"
"Gpr17",6.32546293955011,-2.10718142344385,9.50320048340317,3.307087090439e-10,1.81597079115937e-09,10.2145293173266,"Yes","G protein-coupled receptor 17"
"Lmntd1",6.32277829839961,-2.1098362951904,9.47342778976746,3.53647430709412e-10,1.93041573866227e-09,10.1706618207817,"Yes","lamin tail domain containing 1"
"Tnfrsf9",-6.23389685461231,1.18689166050041,-11.3185310705859,6.85404798774667e-12,5.18080836316738e-11,14.5964904577441,"Yes","tumor necrosis factor receptor superfamily, member 9"
"Ntng1",6.23302517536267,-2.15382651205467,9.32813085361944,4.91391986169098e-10,2.63605989693519e-09,9.94004397775529,"Yes","netrin G1"
"Wscd1",6.23282296358457,-2.14711610900001,8.99416048881418,1.05768378944418e-09,5.35607548030797e-09,9.44753574274734,"Yes","WSC domain containing 1"
"Dlg2",-6.15513739314304,-0.00601214190930732,-9.49605059149444,3.36074349731672e-10,1.84125254916464e-09,10.5029011055917,"Yes","discs large MAGUK scaffold protein 2"
