names,condition
BC01,bladder_cell
BC02,syngeneic_p0
BC2_1,syngeneic_p1
BC2_2,syngeneic_p2
BC2_3,syngeneic_p3
BC03,bladder_cell
BC04,bladder_cell
BC05,bladder_cell
BC07,bladder_cell
BC7_1,syngeneic_p7
BC07_tumor,tumor
BC08,bladder_cell
BC08_tumor,tumor
BC08_A1A2_1,FoxA2oe/A1kd
BC08_A1A2_2,FoxA2oe/A1kd
BC08_shA1_1,FoxA1ShortSH
BC08_shA1_2,FoxA1ShortSH
BC08_NTC_1,NTC
BC08_NTC_2,NTC
BC08_oeA2_1,FOXA2oe
BC08_oeA2_2,FOXA2oe
BC09,bladder_cell
BC09_tumor,tumor
BC10,bladder_cell
BC10_tumor,tumor
Norm_bla,control
