"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significant"
"Sprr1a",383.017245637871,-5.91181204184309,2.51215252306864,-2.35328547433168,NA,NA,"No"
"Krt19",555.066006961824,-5.7352110193315,1.86683206174327,-3.07216226722392,NA,NA,"No"
"Gata3",316.505282689509,-5.45981299391353,1.36607283674481,-3.99672173185408,NA,NA,"No"
"Dlk1",2168.76767816511,-5.31849787723717,1.25191630774343,-4.24828548389447,2.15412778179158e-05,0.0232919962151173,"Yes"
"Des",255.1403333653,-5.20424778941266,1.49566607249469,-3.47955194352456,0.000502252994176574,0.160377959223617,"No"
"Abi3bp",394.723346726851,-5.11591364676992,2.52861984513653,-2.02320394527066,NA,NA,"No"
"Slc14a1",316.531318465209,-4.8853473207222,1.30226827088159,-3.75141392135354,0.00017584012431278,0.0916350446044596,"No"
"Col2a1",794.045053084986,-4.66498111400336,2.51517279906652,-1.85473583196142,NA,NA,"No"
"Lrrc17",338.832828647724,-4.52838321452904,1.01460593763248,-4.46319408015267,8.0746852459351e-06,0.012005038289394,"Yes"
"Car8",254.069741719148,-4.48385723207781,1.45052327699028,-3.09119977818037,0.00199349459967542,0.336793232208722,"No"
"Zfhx4",204.194468685802,-4.37566875227847,0.624720653053093,-7.00420056691577,2.48400058204569e-12,2.95447029228515e-08,"Yes"
"Rgs5",115.976100358754,-4.30448826230077,1.40259653995432,-3.0689425930289,0.0021481786609355,0.340672493242224,"No"
"Tril",285.142635241181,-4.27637108282358,1.22166915147869,-3.50043305722136,0.00046450288753505,0.153466592898386,"No"
"Tmem26",109.040385140574,-4.14400874326171,0.923797059657947,-4.48584318377903,7.26261446084926e-06,0.012005038289394,"Yes"
"Mfap2",153.7627133363,-4.11306719118619,1.57067872430669,-2.61865595270079,0.0088276930295941,0.561479042213862,"No"
"Cilp",110.541555971155,-4.08146984347821,1.55772710825819,-2.6201443255629,0.00878925607302995,0.561479042213862,"No"
"Cck",179.1604986975,-4.03029859010699,1.35936999621536,-2.96482826701178,NA,NA,"No"
"Dpt",122.711280186651,-3.94347563348085,0.944690702491573,-4.17435635079306,2.98829700803698e-05,0.0244082664658781,"Yes"
"Epha7",489.914114921374,-3.93450354798086,0.898813349679784,-4.37744226805553,1.20080153728805e-05,0.0158692594272267,"Yes"
"Fabp4",430.630450946178,-3.92945884571051,1.2787291115141,-3.07294078967027,NA,NA,"No"
"AW551984",39.9278854242012,-3.88149267635422,1.49594447065505,-2.59467697664913,0.00946798557057498,0.572483646096579,"No"
"Gucy1a2",60.6916287813791,-3.86589564628611,1.54847064115314,-2.49658956621044,0.012539399768204,0.630384251683638,"No"
"Adgrg3",81.692946038766,-3.75366760513837,1.35366343870653,-2.77296963026875,0.00555473044263486,0.475309092695677,"No"
"Rbm11",80.005464957311,-3.71824780614822,1.18960262253114,-3.12562172924337,0.00177429619445974,0.319749680862185,"No"
"Cxcl1",107.556056093869,-3.65963176086668,1.15360575847386,-3.17234179353276,0.00151214923668154,0.304839034255768,"No"
"Col14a1",506.172263357404,-3.60581652826242,1.1918022283496,-3.02551584691677,0.00248209397430101,0.36002470402849,"No"
"Cdo1",188.885004227556,-3.43628700510586,1.29455782514634,-2.65440982114291,0.00794472718836819,0.543072328611789,"No"
"Slc26a7",187.661131995057,-3.42768938294845,1.06087902742625,-3.23098986249563,0.00123362315088505,0.268957620943278,"No"
"Ptn",5036.18092719042,-3.42534279155752,1.94424467979099,-1.76178586325141,0.0781054841259529,0.88549954848651,"No"
"Gramd1c",115.093104929624,-3.42178898101302,1.23290325683019,-2.77539130670357,NA,NA,"No"
"Adgrl3",89.0721469714887,-3.41043237348409,0.99632149184879,-3.42302399515204,0.000619286103466275,0.187321889667645,"No"
"Npy1r",68.5574999047781,-3.40654893195435,1.80780006378316,-1.88436155092589,0.0595160869313337,0.840338103946895,"No"
"Igfbp2",1224.31775207708,-3.40110957392674,1.66168471885995,-2.04678392677293,0.0406793045115512,0.79578889450722,"No"
"Tnn",2679.69128487477,-3.388087565777,2.6569315272691,-1.27518813752021,NA,NA,"No"
"Hmcn1",286.140954840049,-3.36658195836636,0.543451103360189,-6.19482035743528,5.83515435326955e-10,3.4701662938894e-06,"Yes"
"Ptprq",143.884324113534,-3.32463697321602,1.64829863821211,-2.01701129646156,NA,NA,"No"
"Apol6",49.2338928283057,-3.27178414980247,0.721235905554008,-4.53635783327965,5.72340394801319e-06,0.012005038289394,"Yes"
"Pcdhgb2",96.895024541991,-3.2475986830309,0.871015518518282,-3.72851988740168,0.000192607711040145,0.0916350446044596,"No"
"Sema6d",202.676061892542,-3.22644887827267,1.09338455527785,-2.95088206861745,0.00316867876489304,0.396718581364608,"No"
