"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significant"
"Dlk1",1445.50454581022,-6.22824828095455,2.17490827210156,-2.86368320027416,NA,NA,"No"
"Sprr1a",400.515422195116,-5.66327113636396,1.83538678346713,-3.08560091386611,NA,NA,"No"
"Csf2rb",138.685108901786,-5.42455655454998,2.48504904142415,-2.18287706364186,0.0290448645436734,0.665165977566593,"No"
"Actg2",987.642317042623,-5.41005140421053,1.76362647652105,-3.06757211701792,0.00215805380717019,0.235797569952051,"No"
"Zfhx4",503.198357759729,-5.09245378389579,0.726546347069945,-7.00912447558633,2.39814031579663e-12,2.89431554713496e-08,"Yes"
"Slc14a1",326.140066435395,-4.8995438611193,1.90107562714815,-2.57724826469383,0.00995903928805181,0.453651051498299,"No"
"Cck",305.316105907545,-4.83111847495981,1.87111342315952,-2.58194848861813,0.00982442475415859,0.453651051498299,"No"
"S1pr3",367.034360570631,-4.63097698882118,1.93748777122988,-2.39019675767116,0.0168393487201295,0.541225305269288,"No"
"Adgrg3",126.418247242627,-4.50486229562393,1.05140833988632,-4.28459821434459,1.83069724388597e-05,0.0138091781477874,"Yes"
"Podnl1",154.332617264149,-4.35320415260901,1.41402484333264,-3.07859099727638,0.0020798200131248,0.232419886466696,"No"
"Hsd11b2",768.088953085197,-4.34021270041876,2.45629132000314,-1.76697799038479,NA,NA,"No"
"Padi2",626.003167563482,-4.23954770326984,1.69376099098576,-2.50303775198084,0.0123132409087344,0.495759515876882,"No"
"Csgalnact1",105.070872518134,-4.23950328032714,0.794206062801185,-5.33803943195082,9.39570277912756e-08,0.000377989122804302,"Yes"
"Gabre",82.6650178231847,-4.205713545037,0.994774580286191,-4.22780560378517,2.3598153648796e-05,0.0167533009639599,"Yes"
"Krt19",671.654395348118,-4.1241927847594,1.54818148659295,-2.66389491185264,0.00772416885792446,0.42614918417033,"No"
"Peg3",122.842876973482,-4.1151892599719,0.646727416881381,-6.36309695948252,1.97725783281311e-10,1.19317623921107e-06,"Yes"
"Arhgdib",454.731503082497,-4.00003829496621,1.62932807785222,-2.45502323892869,0.0140875481025412,0.524750668166218,"No"
"Dpt",117.975578060636,-3.86586075470347,1.26683900806011,-3.05158013773447,0.00227640273544658,0.236844005294007,"No"
"Gsta4",267.54322814815,-3.85132470012734,0.893036235760016,-4.31261862162814,1.61332273438243e-05,0.0138091781477874,"Yes"
"Fmod",556.233517974775,-3.84852475448778,2.29107261218754,-1.67979169844519,0.0929978509152228,0.827955499961251,"No"
"Srrm4",67.2985733232751,-3.77328069976111,0.994180160976609,-3.79536913717381,0.000147423941482719,0.0523739547566692,"No"
"Lamb3",61.939074637532,-3.77219935493709,1.28275520447608,-2.94070087712315,0.00327470594021273,0.282107109550807,"No"
"Rgs5",113.044739446854,-3.72789764137215,1.46642129081324,-2.54217370187305,NA,NA,"No"
"Col14a1",374.358905950265,-3.72392274652562,1.91915387467591,-1.94039821176636,NA,NA,"No"
"Sema6d",217.473688682909,-3.71199495755504,0.917051708649546,-4.04774880472262,5.17126002988333e-05,0.0256650955471771,"Yes"
"Gucy1a2",134.318258535311,-3.70454913094854,1.11468319737111,-3.32340986182032,0.000889241557786878,0.149059116124025,"No"
"Hhipl1",186.846878540604,-3.66943039579368,0.791194825671476,-4.63783416768365,3.52079087548592e-06,0.00531155313452995,"Yes"
"Zfp618",88.7732727996143,-3.61548848641215,1.27263756757156,-2.84094119059458,0.00449806064376079,0.333005991612416,"No"
"Pcdhga5",29.2204191734817,-3.55334426525831,1.18122231648597,-3.00819262865706,0.00262806500375073,0.254032392872936,"No"
"Chst1",213.368686613152,-3.53831143661245,1.09377195974557,-3.23496264928526,0.00121658644446886,0.17906075363774,"No"
"Ly6c1",800.619866343825,-3.51382888608225,0.864828668121645,-4.06303469762868,4.84388259849589e-05,0.0254177474266291,"Yes"
"Add2",136.355118893183,-3.51155976568706,1.31147153934656,-2.67757222351672,0.00741578626090986,0.422046018123605,"No"
"Ccbe1",298.072162230513,-3.45311626749328,1.19539887323441,-2.88867284787555,0.00386871341192157,0.312651702536277,"No"
"Npy1r",74.0965862680056,-3.42402699198167,1.50397024201972,-2.27665873719912,0.022806612377095,0.621390125293732,"No"
"Krt18",194.617118354305,-3.4170163049893,1.13548850604149,-3.00929184822981,0.0026185744225738,0.254032392872936,"No"
"Ly6a",1830.98640461953,-3.41363883052788,0.848334517570578,-4.02393013584277,5.723490252429e-05,0.0265680014832945,"Yes"
"Tns4",101.900919614396,-3.39420756902791,1.28311122436295,-2.64529489305427,NA,NA,"No"
"S100g",253.247161787763,-3.37939012927494,2.57037194445635,-1.3147475160408,NA,NA,"No"
"Slc26a7",136.669422310148,-3.36994986199185,1.459356990918,-2.30920184914591,0.0209323830126339,0.609852185038432,"No"
"Fst",200.081377803018,-3.35802936492463,1.41320163192097,-2.37618559805939,NA,NA,"No"
"Kif1a",118.218983399902,-3.29980854596073,1.35264470450259,-2.43952350160878,0.0147066460339248,0.531420691567181,"No"
"Cadm4",165.522538454235,-3.28559989826904,0.923727137535239,-3.55689441693348,0.000375264891490557,0.0888208371115825,"No"
"Lhx9",46.3066670114112,-3.12125125863424,1.49830564329432,-2.08318728064826,0.0372341560371333,0.686523856171961,"No"
"Adam23",38.5586422214772,-3.0945963080979,1.28089538289784,-2.41596335611487,0.0156936406307483,0.538110456024625,"No"
"Hgf",186.764728014535,-3.07310742962297,1.06903075806461,-2.87466698824137,0.00404453831895997,0.31468380293743,"No"
"Epb41l3",1739.02178275722,-3.05305407950589,0.712083409447112,-4.28749503078072,1.80699298542919e-05,0.0138091781477874,"Yes"
"Rgcc",65.2241626821551,-3.0461620461437,0.947630296923825,-3.2145047029755,0.00130669774332207,0.187744465049452,"No"
"Serinc2",135.647481571758,-3.04519017281656,0.934249316882519,-3.25950484285929,0.00111606875114668,0.171673384487444,"No"
"Foxc2",201.155809851038,-3.04209185489928,0.982281161069025,-3.09696650558639,0.0019551196341725,0.226887873700269,"No"
"Pcdhgb2",55.2753365981036,-3.03403489032062,0.837306059463586,-3.62356733959904,0.000290567508656267,0.0855331527310363,"No"
"Hmcn1",217.608334191983,-3.03334410290166,0.921766330491896,-3.29079507740636,0.000999046617453843,0.162939103054736,"No"
"Slfn3",100.923720561355,-3.0134826271651,1.38212911687207,-2.18031918319251,NA,NA,"No"
"4930486L24Rik",15.7830328364127,-2.99946796688656,1.83642073495685,-1.63332285994747,0.102401111393052,0.844179653963626,"No"
"Smarca1",37.0621270468076,-2.9549920519657,0.921499725053461,-3.20672049228692,0.00134257373125659,0.189944468085286,"No"
"Nol4",41.1322651941782,-2.9249759742023,1.41867151867364,-2.06177112580434,0.0392295312909082,0.694762686151849,"No"
"Lrrc17",90.0264114691038,-2.91505479603855,1.28272447518016,-2.2725494464656,0.0230533450410751,0.622544701069725,"No"
"Tmem37",58.1886444011293,-2.89496013601596,0.982172511628609,-2.94750677884033,0.00320347728591229,0.280164980896199,"No"
"Lpin3",69.7956469363633,-2.89447591852711,1.01924066740009,-2.83983558653564,0.0045136790957117,0.333005991612416,"No"
"Siglecg",490.079764132401,-2.8634798716628,1.82382313298647,-1.57004252214628,NA,NA,"No"
"Cdkn1c",255.587780512904,-2.8622300461786,0.822710741209849,-3.47902355324729,0.000503244354049562,0.0995681329348223,"No"
"Elavl2",78.6972599787576,-2.86090670051372,1.21619672306516,-2.35233876745156,0.0186557756375923,0.574079343670699,"No"
"Gm53357",94.5725311366435,-2.82999996505621,0.874723840704495,-3.23530677153712,0.00121512100177873,0.17906075363774,"No"
"Tnnt2",69.8510152090033,-2.82453013014017,1.03742944055878,-2.72262384285027,0.00647657538635166,0.39083557644377,"No"
"Mcam",957.268535927575,-2.82443054082324,1.32172824074565,-2.13692229140073,0.0326043125927563,0.673053388901209,"No"
"Gm52666",26.9435974205235,-2.81076062152243,1.03119777174457,-2.72572410311478,0.00641606042408736,0.39083557644377,"No"
"Plac8",1177.69615665295,-2.80574119116929,1.97557440879069,-1.42021539592971,0.155544982800335,0.916481934440584,"No"
"P2ry10b",79.1108597058211,-2.80031149832029,1.00205977022398,-2.79455535640789,0.00519711421805648,0.356386201691611,"No"
"Col24a1",53.2029326390903,-2.79810893026252,1.47818256313292,-1.89293866674499,NA,NA,"No"
"Cnn1",1357.45182764676,-2.79689827923506,1.82607162890188,-1.53164762814753,0.125609412612753,0.879849100884109,"No"
"Cd53",24.7493346031129,-2.77295865787778,1.4859267756663,-1.86614758094952,0.0620207205654225,0.772015703681422,"No"
"Gata3",371.647476007809,-2.76295114918187,1.90994303542488,-1.4466144266796,NA,NA,"No"
"Adamts7",123.231433828652,-2.76028774794545,0.989720345188819,-2.78895726592226,0.00528780418219577,0.358530947611914,"No"
"Itgb7",271.883421418987,-2.74655503311205,0.900847065671259,-3.04885827769831,0.00229712820517309,0.236957609472085,"No"
"Ptpre",87.2346368708123,-2.72337246628251,0.881585582231176,-3.08917536898688,0.00200712924042017,0.228528705685198,"No"
"Adgrl3",54.7744233143523,-2.72312342831197,1.35754713920293,-2.00591445385154,0.0448653758679661,0.713756068181713,"No"
"Cldn15",74.9371723839869,-2.72014726842013,1.03685123815148,-2.62346918085343,0.00870393192942904,0.439530353373553,"No"
"Padi3",49.7522910456771,-2.71855766351044,1.09635256879467,-2.47963815736686,0.0131515769332344,0.502043493363645,"No"
"Adcyap1r1",89.0247023627556,-2.71624665129653,1.95489847804706,-1.38945662999853,0.164693940278594,0.919403277820364,"No"
"Klhl30",33.2777400048132,-2.70838530077809,1.33452123837279,-2.02948085268428,0.0424093372832442,0.701148344755445,"No"
"Tnfsf15",40.8747737455452,-2.70163372829727,1.33019440199704,-2.03100668912849,0.0422543160506164,0.701148344755445,"No"
"Prr16",21.167809269309,-2.69503062756514,1.13507617336973,-2.37431697607073,0.0175814500964239,0.554022248599843,"No"
